mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Tlaxcala,2,0,7,0,3,0,2,0,14
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Veracruz de Ignacio de la Llave,34,0,57,0,13,0,22,0,126
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Yucatán,2,0,9,0,1,0,0,0,12
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Zacatecas,1,0,21,0,2,0,3,0,27
2026-02,Febrero 2026,CEFERESO No. 4 Noroeste,Publico,Extranjeros,3,0,18,0,6,0,10,0,37
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Aguascalientes,1,0,10,0,0,0,0,0,11
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Baja California,2,0,7,0,1,0,1,0,11
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Baja California Sur,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Campeche,0,0,7,0,1,0,0,0,8
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Chiapas,2,0,21,0,4,0,2,0,29
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Chihuahua,2,0,13,0,8,0,5,0,28
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Ciudad de México,6,0,63,0,26,0,48,0,143
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Coahuila de Zaragoza,1,0,38,0,0,0,3,0,42
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Colima,1,0,3,0,1,0,4,0,9
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Durango,3,0,8,0,0,0,7,0,18
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Estado de México,3,0,100,0,24,0,20,0,147
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Guanajuato,4,0,74,0,1,0,4,0,83
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Guerrero,6,0,18,0,16,0,30,0,70
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Hidalgo,2,0,19,0,2,0,13,0,36
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Jalisco,7,0,14,0,2,0,11,0,34
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Michoacán de Ocampo,1,0,17,0,11,0,20,0,49
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Morelos,0,0,2,0,6,0,4,0,12
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Nayarit,0,0,3,0,0,0,1,0,4
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Nuevo León,2,0,20,0,1,0,3,0,26
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Oaxaca,1,0,8,0,2,0,8,0,19
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Puebla,8,0,20,0,10,0,28,0,66
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Querétaro,0,0,7,0,0,0,2,0,9
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Quintana Roo,2,0,17,0,0,0,3,0,22
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,San Luis Potosí,3,0,3,0,0,0,9,0,15
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Sinaloa,3,0,4,0,18,0,6,0,31
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Sonora,1,0,4,0,2,0,0,0,7
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Tabasco,5,0,18,0,3,0,5,0,31
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Tamaulipas,9,0,18,0,7,0,28,0,62
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Tlaxcala,0,0,3,0,15,0,20,0,38
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Veracruz de Ignacio de la Llave,36,0,56,0,29,0,134,0,255
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Yucatán,0,0,2,0,0,0,0,0,2
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Zacatecas,0,0,52,0,1,0,5,0,58
2026-02,Febrero 2026,CEFERESO No. 5 Oriente,Publico,Extranjeros,0,0,9,0,0,0,9,0,18
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Aguascalientes,0,0,6,0,0,0,0,0,6
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Baja California,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Baja California Sur,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Campeche,0,0,2,0,0,0,0,0,2
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Chiapas,0,0,1,0,1,0,0,0,2
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Chihuahua,1,0,2,0,2,0,10,0,15
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Ciudad de México,0,0,13,0,2,0,1,0,16
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Coahuila de Zaragoza,2,0,8,0,1,0,7,0,18
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Colima,0,0,0,0,1,0,0,0,1
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Durango,1,0,39,0,33,0,40,0,113
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Estado de México,0,0,9,0,0,0,6,0,15
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Guanajuato,0,0,0,0,3,0,0,0,3
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Guerrero,0,0,2,0,1,0,3,0,6
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Hidalgo,0,0,1,0,2,0,0,0,3
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Jalisco,2,0,3,0,4,0,2,0,11
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Michoacán de Ocampo,0,0,1,0,0,0,1,0,2
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Morelos,0,0,7,0,0,0,1,0,8
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Nayarit,1,0,0,0,2,0,2,0,5
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Nuevo León,0,0,5,0,0,0,3,0,8
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Oaxaca,0,0,3,0,2,0,2,0,7
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Puebla,0,0,2,0,1,0,0,0,3
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Querétaro,1,0,0,0,0,0,0,0,1
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Quintana Roo,2,0,2,0,0,0,3,0,7
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,San Luis Potosí,0,0,0,0,0,0,1,0,1
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Sinaloa,0,0,2,0,7,0,7,0,16
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Sonora,0,0,0,0,1,0,0,0,1
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Tabasco,1,0,1,0,1,0,0,0,3
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Tamaulipas,1,0,1,0,1,0,2,0,5
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Tlaxcala,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Veracruz de Ignacio de la Llave,1,0,5,0,3,0,1,0,10
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Yucatán,0,0,0,0,0,0,0,0,0
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Zacatecas,0,0,22,0,2,0,9,0,33
2026-02,Febrero 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Extranjeros,1,0,3,0,3,0,2,0,9
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Aguascalientes,0,0,2,0,0,0,1,0,3
2026-02,Febrero 2026,CEFERESO No. 8 Nor-Poniente,Publico,Baja California,0,0,9,0,10,0,5,0,24
