mes,mes_nombre,centro,tipo,entidad_origen,fc_procesados_h,fc_procesados_m,fc_sentenciados_h,fc_sentenciados_m,ff_procesados_h,ff_procesados_m,ff_sentenciados_h,ff_sentenciados_m,total
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Quintana Roo,2,0,17,0,0,0,3,0,22
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,San Luis Potosí,6,0,4,0,0,0,9,0,19
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Sinaloa,3,0,4,0,18,0,6,0,31
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Sonora,1,0,4,0,2,0,0,0,7
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Tabasco,5,0,18,0,4,0,4,0,31
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Tamaulipas,9,0,19,0,7,0,27,0,62
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Tlaxcala,0,0,3,0,13,0,22,0,38
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Veracruz de Ignacio de la Llave,38,0,56,0,30,0,124,0,248
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Yucatán,0,0,2,0,0,0,0,0,2
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Zacatecas,0,0,53,0,0,0,5,0,58
2026-03,Marzo 2026,CEFERESO No. 5 Oriente,Publico,Extranjeros,0,0,9,0,0,0,9,0,18
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Aguascalientes,0,0,6,0,0,0,0,0,6
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Baja California,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Baja California Sur,0,0,0,0,0,0,0,0,0
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Campeche,0,0,2,0,0,0,0,0,2
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Chiapas,0,0,1,0,1,0,0,0,2
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Chihuahua,1,0,2,0,1,0,11,0,15
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Ciudad de México,0,0,12,0,2,0,1,0,15
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Coahuila de Zaragoza,1,0,9,0,1,0,7,0,18
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Colima,0,0,0,0,1,0,0,0,1
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Durango,1,0,39,0,39,0,45,0,124
2026-03,Marzo 2026,CEFERESO No. 7 Nor-Noroeste,Publico,Estado de México,0,0,9,0,0,0,6,0,15
