"NOMBRE_CAMPO","NEMONICO","TIPO","LONGITUD","RANGO_CLAVES"
"Lugar en el que viven las personas que lo visitan","P7_29","Numérico","1","2
"
"Lugar en el que viven las personas que lo visitan","P7_29","Numérico","1","3
"
"Lugar en el que viven las personas que lo visitan","P7_29","Numérico","1","4
"
"Lugar en el que viven las personas que lo visitan","P7_29","Numérico","1","8
"
"Lugar en el que viven las personas que lo visitan","P7_29","Numérico","1","9
"
"Monto erogado por cada visita al centro penitenciario","P7_30","Numérico","8","00,000,001…99,999,997
"
"Monto erogado por cada visita al centro penitenciario","P7_30","Numérico","8","00,000,000
"
"Monto erogado por cada visita al centro penitenciario","P7_30","Numérico","8","99,999,998
"
"Monto erogado por cada visita al centro penitenciario","P7_30","Numérico","8","99,999,999
"
"Visitas íntimas en el último año","P7_31","Numérico","1","1
"
"Visitas íntimas en el último año","P7_31","Numérico","1","2
"
"Visitas íntimas en el último año","P7_31","Numérico","1","3
"
"Visitas íntimas en el último año","P7_31","Numérico","1","8
"
"Visitas íntimas en el último año","P7_31","Numérico","1","9
"
"Frecuencia de las visitas íntimas","P7_32","Numérico","1","1
"
"Frecuencia de las visitas íntimas","P7_32","Numérico","1","2
"
"Frecuencia de las visitas íntimas","P7_32","Numérico","1","3
"
"Frecuencia de las visitas íntimas","P7_32","Numérico","1","4
"
"Frecuencia de las visitas íntimas","P7_32","Numérico","1","8
"
"Frecuencia de las visitas íntimas","P7_32","Numérico","1","9
"
"Exigencia de usar algún método anticonceptivo","P7_33","Numérico","1","1
"
"Exigencia de usar algún método anticonceptivo","P7_33","Numérico","1","2
"
"Exigencia de usar algún método anticonceptivo","P7_33","Numérico","1","8
"
"Exigencia de usar algún método anticonceptivo","P7_33","Numérico","1","9
"
"Satisfacción con el trato que reciben las personas que lo visitan","P7_34","Numérico","1","1
"
"Satisfacción con el trato que reciben las personas que lo visitan","P7_34","Numérico","1","2
"
"Satisfacción con el trato que reciben las personas que lo visitan","P7_34","Numérico","1","3
"
"Satisfacción con el trato que reciben las personas que lo visitan","P7_34","Numérico","1","4
"
"Satisfacción con el trato que reciben las personas que lo visitan","P7_34","Numérico","1","8
"
"Satisfacción con el trato que reciben las personas que lo visitan","P7_34","Numérico","1","9
"
"Percepción sobre la seguridad en su celda o dormitorio","P7_35","Numérico","1","1
"
"Percepción sobre la seguridad en su celda o dormitorio","P7_35","Numérico","1","2
"
"Percepción sobre la seguridad en su celda o dormitorio","P7_35","Numérico","1","8
"
"Percepción sobre la seguridad en su celda o dormitorio","P7_35","Numérico","1","9
"
"Percepción sobre la seguridad en el centro penitenciario","P7_36","Numérico","1","1
"
"Percepción sobre la seguridad en el centro penitenciario","P7_36","Numérico","1","2
"
"Percepción sobre la seguridad en el centro penitenciario","P7_36","Numérico","1","8
"
"Percepción sobre la seguridad en el centro penitenciario","P7_36","Numérico","1","9
"
"Percepción sobre su relación con otros internos(as) en términos de violencia","P7_37","Numérico","1","1
"
"Percepción sobre su relación con otros internos(as) en términos de violencia","P7_37","Numérico","1","2
"
"Percepción sobre su relación con otros internos(as) en términos de violencia","P7_37","Numérico","1","3
"
"Percepción sobre su relación con otros internos(as) en términos de violencia","P7_37","Numérico","1","4
"
"Percepción sobre su relación con otros internos(as) en términos de violencia","P7_37","Numérico","1","8
"
"Percepción sobre su relación con otros internos(as) en términos de violencia","P7_37","Numérico","1","9
"
"Percepción sobre la relación con los custodios(as) en términos de violencia","P7_38","Numérico","1","1
"
"Percepción sobre la relación con los custodios(as) en términos de violencia","P7_38","Numérico","1","2
"
"Percepción sobre la relación con los custodios(as) en términos de violencia","P7_38","Numérico","1","3
"
"Percepción sobre la relación con los custodios(as) en términos de violencia","P7_38","Numérico","1","4
"
"Percepción sobre la relación con los custodios(as) en términos de violencia","P7_38","Numérico","1","8
"
"Percepción sobre la relación con los custodios(as) en términos de violencia","P7_38","Numérico","1","9
"
"Victimización en el centro penitenciario","P7_39","Numérico","1","1
"
"Victimización en el centro penitenciario","P7_39","Numérico","1","2
"
"Victimización en el centro penitenciario","P7_39","Numérico","1","8
"
"Victimización en el centro penitenciario","P7_39","Numérico","1","9
"
"Victimización en el centro penitenciario: robo de objetos personales","P7_40_1","Numérico","1","1
"
"Victimización en el centro penitenciario: robo de objetos personales","P7_40_1","Numérico","1","2
"
"Victimización en el centro penitenciario: robo de objetos personales","P7_40_1","Numérico","1","8
"
"Victimización en el centro penitenciario: robo de objetos personales","P7_40_1","Numérico","1","9
"
"Victimización en el centro penitenciario: extorsión","P7_40_2","Numérico","1","1
"
"Victimización en el centro penitenciario: extorsión","P7_40_2","Numérico","1","2
"
"Victimización en el centro penitenciario: extorsión","P7_40_2","Numérico","1","8
"
"Victimización en el centro penitenciario: extorsión","P7_40_2","Numérico","1","9
"
"Victimización en el centro penitenciario: amenazas","P7_40_3","Numérico","1","1
"
"Victimización en el centro penitenciario: amenazas","P7_40_3","Numérico","1","2
"
"Victimización en el centro penitenciario: amenazas","P7_40_3","Numérico","1","8
"
"Victimización en el centro penitenciario: amenazas","P7_40_3","Numérico","1","9
"
"Victimización en el centro penitenciario: lesión física","P7_40_4","Numérico","1","1
"
"Victimización en el centro penitenciario: lesión física","P7_40_4","Numérico","1","2
"
"Victimización en el centro penitenciario: lesión física","P7_40_4","Numérico","1","8
"
"Victimización en el centro penitenciario: lesión física","P7_40_4","Numérico","1","9
"
"Victimización en el centro penitenciario: delitos sexuales","P7_40_5","Numérico","1","1
"
"Victimización en el centro penitenciario: delitos sexuales","P7_40_5","Numérico","1","2
"
"Victimización en el centro penitenciario: delitos sexuales","P7_40_5","Numérico","1","8
"
"Victimización en el centro penitenciario: delitos sexuales","P7_40_5","Numérico","1","9
"
"Victimización en el centro penitenciario: violación sexual","P7_40_6","Numérico","1","1
"
"Victimización en el centro penitenciario: violación sexual","P7_40_6","Numérico","1","2
"
"Victimización en el centro penitenciario: violación sexual","P7_40_6","Numérico","1","8
"
"Victimización en el centro penitenciario: violación sexual","P7_40_6","Numérico","1","9
"
"Número de veces que sufrió victimización por robo de objetos personales","P7_41_1","Numérico","2","01 .. 97
"
"Número de veces que sufrió victimización por robo de objetos personales","P7_41_1","Numérico","2","98
"
"Número de veces que sufrió victimización por robo de objetos personales","P7_41_1","Numérico","2","99
"
"Tipo de personas que le robaron objetos personales: Internos(as)","P7_42_1_1","Numérico","1","0
"
"Tipo de personas que le robaron objetos personales: Internos(as)","P7_42_1_1","Numérico","1","1
"
